variant,variant_label,label,fit_max,rho,delta,direction_cosine,direction_abs_cosine,self_projection_corr_fit,self_projection_corr_all,baseline_transfer_corr_fit,baseline_transfer_corr_all
alpha_comma,alpha + comma,resid_post.layer16,24,0.8379135727882385,2.4061717987060547,0.9254730939865112,0.9254730939865112,1.0,0.8736441135406494,0.9628176093101501,0.8363065719604492
alpha_comma,alpha + comma,resid_post.layer31,24,0.8072569966316223,1.905403971672058,0.9430467486381531,0.9430467486381531,1.0,0.7487816214561462,0.9869195222854614,0.7044781446456909
alpha_comma,alpha + comma,resid_post.layer40,24,0.8727537989616394,0.9593257904052734,0.9247558116912842,0.9247558116912842,1.0,0.6022657155990601,0.9950359463691711,0.6085644364356995
alpha_comma,alpha + comma,resid_post.layer53,24,0.8669689893722534,0.692855715751648,0.8751741647720337,0.8751741647720337,1.0,0.42798948287963867,0.9952502846717834,0.4240707755088806
b_comma,b + comma,resid_post.layer16,24,0.8385938405990601,2.487306833267212,0.9501188397407532,0.9501188397407532,1.0,0.8822863101959229,0.9853247404098511,0.8591488003730774
b_comma,b + comma,resid_post.layer31,24,0.7432082295417786,2.1988797187805176,0.977572500705719,0.977572500705719,1.0,0.6863616108894348,0.9993929266929626,0.6882517337799072
b_comma,b + comma,resid_post.layer40,24,0.8775230050086975,0.9291368722915649,0.9633604288101196,0.9633604288101196,1.0,0.5953291654586792,0.9986153841018677,0.6087494492530823
b_comma,b + comma,resid_post.layer53,24,0.8716495037078857,0.6684492230415344,0.8793407678604126,0.8793407678604126,1.0,0.4512731432914734,0.9983629584312439,0.45214951038360596
beta_comma,beta + comma,resid_post.layer16,24,0.8492576479911804,2.330698013305664,0.923279881477356,0.923279881477356,1.0,0.8800370097160339,0.9644989371299744,0.8432109355926514
beta_comma,beta + comma,resid_post.layer31,24,0.7493002414703369,2.252068281173706,0.9319329857826233,0.9319329857826233,1.0,0.7106280326843262,0.9811240434646606,0.6712332367897034
beta_comma,beta + comma,resid_post.layer40,24,0.798642098903656,1.3207427263259888,0.9124347567558289,0.9124347567558289,1.0,0.5682276487350464,0.987311601638794,0.5335592031478882
beta_comma,beta + comma,resid_post.layer53,24,0.8309548497200012,0.8227134346961975,0.7722514867782593,0.7722514867782593,1.0,0.42830267548561096,0.9894607067108154,0.3884420096874237
han_comma,han + comma,resid_post.layer16,24,0.7884451150894165,2.886667013168335,0.539219319820404,0.539219319820404,1.0,0.8476608395576477,0.6906082630157471,0.5407648086547852
han_comma,han + comma,resid_post.layer31,24,0.6768958568572998,2.30924916267395,0.5597147941589355,0.5597147941589355,1.0,0.6042129993438721,0.6901702284812927,0.45415282249450684
han_comma,han + comma,resid_post.layer40,24,0.5688929557800293,2.031787872314453,0.36132484674453735,0.36132484674453735,1.0,0.4015668034553528,0.7029968500137329,0.24637006223201752
han_comma,han + comma,resid_post.layer53,24,0.774316132068634,0.7734472155570984,0.44684335589408875,0.44684335589408875,1.0,0.3250904977321625,0.8645708560943604,0.24629046022891998
x_comma,x + comma,resid_post.layer16,24,0.8325907588005066,2.5966567993164062,0.9236970543861389,0.9236970543861389,1.0,0.8815426230430603,0.9861173629760742,0.8483709096908569
x_comma,x + comma,resid_post.layer31,24,0.8390702605247498,1.621622920036316,0.9379949569702148,0.9379949569702148,1.0,0.7588198184967041,0.9990530610084534,0.7304015755653381
x_comma,x + comma,resid_post.layer40,24,0.8680193424224854,0.9382150769233704,0.9342314600944519,0.9342314600944519,1.0,0.5763823390007019,0.9967126250267029,0.5768320560455322
x_comma,x + comma,resid_post.layer53,24,0.8748287558555603,0.6319534778594971,0.8868682384490967,0.8868682384490967,1.0,0.42706286907196045,0.9923884272575378,0.40705353021621704
zhong_comma,zhong + comma,resid_post.layer16,24,0.8341182470321655,2.427231788635254,0.8737819194793701,0.8737819194793701,1.0,0.8787755370140076,0.9673980474472046,0.844338059425354
zhong_comma,zhong + comma,resid_post.layer31,24,0.7076984643936157,2.5072028636932373,0.9052401185035706,0.9052401185035706,1.0,0.6755860447883606,0.9936069250106812,0.6397019624710083
zhong_comma,zhong + comma,resid_post.layer40,24,0.5788782238960266,2.248018980026245,0.8496996164321899,0.8496996164321899,1.0,0.5036787986755371,0.9876582026481628,0.5138534307479858
zhong_comma,zhong + comma,resid_post.layer53,24,0.6006253957748413,1.392032265663147,0.7336603999137878,0.7336603999137878,1.0,0.31935837864875793,0.9835361838340759,0.3750099539756775
